Temperature,Humidity,Rainfall,PH,Nitrogen,Phosphorous,Potassium,Carbon,Soil,Crop
20.87974371,82.00274423,202.9355362,6.502985292,69.3,79.5,94.44,0.63,Loamy Soil,rice
21.77046169,80.31964408,226.6555374,7.038096361,72.02,141.824,141.6978,1.4,Loamy Soil,rice
23.00445915,82.3207629,263.9642476,7.633567638,77.77,59.39,81.89,1.8,Peaty Soil,rice
26.49109635,80.28362927,242.8640342,6.980400905,78.65,147.45895,142.943,1.43,Loamy Soil,rice
20.2800712,81.60487287,262.7173405,7.628472891,73.98,68.95,95.74,1.75,Peaty Soil,rice
23.05804872,83.37011772,251.0549998,7.073453503,76.81,140.93673,140.60768,0.86,Loamy Soil,rice
22.70883798,82.63941394,271.3248604,5.70080568,78.29,49.08,67.85,1.78,Peaty Soil,rice
20.2800712,82.89408619,241.9741949,5.718627178,72.6,49.41,65.18,2.32,Peaty Soil,rice
24.51588066,83.5352163,230.4462359,6.685346424,76.22,109.64,137.65,2.34,Loamy Soil,rice
23.22397386,83.03322691,221.2091958,6.336253525,73.7,67.53,84.44,2.37,Peaty Soil,rice
26.52723513,81.41753846,264.6148697,5.386167788,81.75,45.13,61.86,2.08,Peaty Soil,rice
23.97898217,81.45061596,250.0832336,7.50283396,77.14,78.59,106.31,1.88,Peaty Soil,rice
26.7320648,80.88684822,284.4364567,5.108681786,83.536,42.919,60.05,0.9,Acidic Soil,rice
24.01497622,82.05687182,185.2773389,6.98435366,70.28,146.825,147.4889,2.31,Loamy Soil,rice
25.66585205,80.66385045,209.5869708,6.94801983,74.11,144.69303,147.520955,1.54,Loamy Soil,rice
24.28209415,80.30025587,231.0863347,7.042299069,75.03,147.45895,143.8767,1.26,Loamy Soil,rice
21.58711777,82.7883708,276.6552459,6.249050656,77.47,63.07,89.12,1.6,Peaty Soil,rice
23.79391957,80.41817957,206.2611855,6.970859754,71.93,143.037,146.9476,1.32,Loamy Soil,rice
21.8652524,80.28362927,224.5550169,5.953933276,71.87,53,68.62,1.1,Peaty Soil,rice
23.57943626,83.58760316,290.7103425,5.85393208,81.9,51.88,73.89,0.83,Acidic Soil,rice
21.32504158,80.47476396,185.4974732,6.442475375,69.2805,73.3,84.36,0.79,Acidic Soil,rice
25.15745531,83.11713476,231.3843163,5.108527114,76.88,42.92,57.0975,2.41,Peaty Soil,rice
21.94766735,80.97384195,213.3560921,6.012632591,71.07,54.6,68.81,1.19,Peaty Soil,rice
21.0525355,82.67839517,233.1075816,6.254028451,72.54,63.25,81.67,2.26,Peaty Soil,rice
23.48381344,81.33265073,224.0581164,7.375482851,73.78,94.98,119.56,1.87,Loamy Soil,rice
25.0756354,80.52389148,257.0038865,7.633567638,78.83,61.01,83.99,1.15,Peaty Soil,rice
26.35927159,84.04403589,271.3586137,6.286500176,83.4,65.34,90.71,1.21,Peaty Soil,rice
24.52922681,80.54498576,260.2634026,7.070959995,78.57,146.9271,144.82815,1.07,Loamy Soil,rice
